,Duration,Closure Hour,Closure Minute,Closure Second,Bridge,Date,Year,Month,Day
305,3861,20,19,42,1st Ave S,2016-04-01,2016,04,01
306,54676,21,12,2,1st Ave S,2016-03-30,2016,03,30
307,71393,14,30,23,1st Ave S,2016-03-28,2016,03,28
308,85046,10,5,58,1st Ave S,2016-03-28,2016,03,28
309,19917,9,33,14,1st Ave S,2016-03-28,2016,03,28
310,84568,13,24,53,1st Ave S,2016-03-23,2016,03,23
311,84669,12,37,1,1st Ave S,2016-03-23,2016,03,23
312,77839,11,50,19,1st Ave S,2016-03-23,2016,03,23
313,44020,9,13,42,1st Ave S,2016-03-22,2016,03,22
314,77525,21,12,18,1st Ave S,2016-03-22,2016,03,22
315,71420,18,21,17,1st Ave S,2016-03-22,2016,03,22
316,85207,14,1,51,1st Ave S,2016-03-21,2016,03,21
317,8737,13,27,22,1st Ave S,2016-03-21,2016,03,21
318,70624,18,37,3,1st Ave S,2016-03-20,2016,03,20
319,85633,14,18,52,1st Ave S,2016-03-18,2016,03,18
320,74416,14,0,34,1st Ave S,2016-03-18,2016,03,18
321,6054,9,13,30,1st Ave S,2016-03-18,2016,03,18
322,9614,9,57,0,1st Ave S,2016-03-17,2016,03,17
323,84360,12,28,28,1st Ave S,2016-03-16,2016,03,16
324,85280,11,45,24,1st Ave S,2016-03-14,2016,03,14
325,66378,11,7,14,1st Ave S,2016-03-14,2016,03,14
326,22218,5,23,27,1st Ave S,2016-03-14,2016,03,14
327,84699,20,43,51,1st Ave S,2016-05-12,2016,05,12
328,54578,20,4,24,1st Ave S,2016-05-12,2016,05,12
329,85308,11,7,58,1st Ave S,2016-05-11,2016,05,11
330,85816,10,46,45,1st Ave S,2016-05-11,2016,05,11
331,34526,10,28,44,1st Ave S,2016-05-11,2016,05,11
332,51332,19,51,34,1st Ave S,2016-05-11,2016,05,11
333,15231,9,42,19,1st Ave S,2016-05-10,2016,05,10
334,85060,13,49,57,1st Ave S,2016-05-09,2016,05,09
335,62481,20,26,28,1st Ave S,2016-05-08,2016,05,08
336,85626,18,52,11,1st Ave S,2016-05-07,2016,05,07
337,70664,18,33,52,1st Ave S,2016-05-07,2016,05,07
338,85516,13,48,55,1st Ave S,2016-05-04,2016,05,04
339,27032,13,25,14,1st Ave S,2016-05-04,2016,05,04
340,48041,20,44,5,1st Ave S,2016-05-04,2016,05,04
341,18401,9,56,44,1st Ave S,2016-05-03,2016,05,03
342,9382,15,0,10,1st Ave S,2016-05-02,2016,05,02
343,67763,17,28,13,1st Ave S,2016-05-02,2016,05,02
344,72691,15,25,3,1st Ave S,2016-04-30,2016,04,30
345,37537,9,1,40,1st Ave S,2016-04-27,2016,04,27
346,84902,19,17,27,1st Ave S,2016-04-26,2016,04,26
347,84240,18,38,12,1st Ave S,2016-04-26,2016,04,26
348,52303,17,54,31,1st Ave S,2016-04-25,2016,04,25
349,78348,18,16,36,1st Ave S,2016-04-24,2016,04,24
350,57636,21,29,8,1st Ave S,2016-04-23,2016,04,23
351,11655,18,15,56,1st Ave S,2016-04-21,2016,04,21
352,62245,21,19,17,1st Ave S,2016-04-20,2016,04,20
353,80986,14,23,9,1st Ave S,2016-04-19,2016,04,19
354,85122,12,46,16,1st Ave S,2016-04-19,2016,04,19
355,27142,12,13,47,1st Ave S,2016-04-19,2016,04,19
356,65358,19,36,21,1st Ave S,2016-04-19,2016,04,19
357,84735,13,40,39,1st Ave S,2016-04-18,2016,04,18
358,85716,13,0,56,1st Ave S,2016-04-18,2016,04,18
359,14489,12,40,2,1st Ave S,2016-04-18,2016,04,18
360,75465,16,39,56,1st Ave S,2016-04-17,2016,04,17
361,75611,15,33,2,1st Ave S,2016-04-16,2016,04,16
362,67629,18,5,16,1st Ave S,2016-04-15,2016,04,15
363,85538,18,27,44,1st Ave S,2016-04-14,2016,04,14
364,65352,18,1,31,1st Ave S,2016-04-14,2016,04,14
365,10868,11,51,40,1st Ave S,2016-04-13,2016,04,13
366,70774,14,40,36,1st Ave S,2016-04-12,2016,04,12
367,83966,10,14,20,1st Ave S,2016-04-12,2016,04,12
368,38349,9,27,39,1st Ave S,2016-04-12,2016,04,12
369,67185,19,55,5,1st Ave S,2016-04-12,2016,04,12
370,77867,14,19,57,1st Ave S,2016-06-27,2016,06,27
371,83301,11,57,25,1st Ave S,2016-06-27,2016,06,27
372,32749,10,53,12,1st Ave S,2016-06-27,2016,06,27
373,84903,19,52,2,1st Ave S,2016-06-27,2016,06,27
374,81320,19,19,0,1st Ave S,2016-06-27,2016,06,27
375,83097,17,37,51,1st Ave S,2016-06-27,2016,06,27
376,70644,16,35,30,1st Ave S,2016-06-26,2016,06,26
377,84805,11,30,53,1st Ave S,2016-06-26,2016,06,26
378,85228,10,52,47,1st Ave S,2016-06-26,2016,06,26
379,82257,10,26,7,1st Ave S,2016-06-26,2016,06,26
380,43734,9,8,49,1st Ave S,2016-06-26,2016,06,26
381,80718,20,52,40,1st Ave S,2016-06-26,2016,06,26
382,85656,19,4,36,1st Ave S,2016-06-26,2016,06,26
383,59395,18,10,48,1st Ave S,2016-06-26,2016,06,26
384,75439,18,0,50,1st Ave S,2016-06-24,2016,06,24
385,78003,14,17,2,1st Ave S,2016-06-22,2016,06,22
386,79789,11,48,9,1st Ave S,2016-06-22,2016,06,22
387,14122,9,55,24,1st Ave S,2016-06-22,2016,06,22
388,70471,13,39,33,1st Ave S,2016-06-21,2016,06,21
389,37930,8,55,46,1st Ave S,2016-06-20,2016,06,20
390,81995,19,19,31,1st Ave S,2016-06-20,2016,06,20
391,77407,17,55,20,1st Ave S,2016-06-20,2016,06,20
392,67694,19,35,6,1st Ave S,2016-06-19,2016,06,19
393,83614,14,11,12,1st Ave S,2016-06-18,2016,06,18
394,86280,11,28,29,1st Ave S,2016-06-17,2016,06,17
395,82488,10,35,47,1st Ave S,2016-06-16,2016,06,16
396,86356,9,22,10,1st Ave S,2016-06-16,2016,06,16
397,41002,9,18,27,1st Ave S,2016-06-16,2016,06,16
398,85773,9,30,21,1st Ave S,2016-06-15,2016,06,15
399,38745,9,5,25,1st Ave S,2016-06-15,2016,06,15
400,85788,14,7,6,1st Ave S,2016-06-14,2016,06,14
401,83328,13,52,59,1st Ave S,2016-06-14,2016,06,14
402,85368,10,25,33,1st Ave S,2016-06-14,2016,06,14
403,84930,9,57,9,1st Ave S,2016-06-14,2016,06,14
404,86081,9,31,2,1st Ave S,2016-06-14,2016,06,14
405,41872,9,24,19,1st Ave S,2016-06-14,2016,06,14
406,77084,20,47,35,1st Ave S,2016-06-14,2016,06,14
407,70991,18,1,13,1st Ave S,2016-06-14,2016,06,14
408,8120,13,35,38,1st Ave S,2016-06-13,2016,06,13
409,17591,15,39,51,1st Ave S,2016-06-12,2016,06,12
410,61338,20,24,17,1st Ave S,2016-06-12,2016,06,12
411,86024,13,19,17,1st Ave S,2016-06-11,2016,06,11
412,72212,13,2,18,1st Ave S,2016-06-11,2016,06,11
413,40686,8,46,13,1st Ave S,2016-06-11,2016,06,11
414,80013,19,57,28,1st Ave S,2016-06-11,2016,06,11
415,11275,18,1,33,1st Ave S,2016-06-11,2016,06,11
416,81439,20,54,20,1st Ave S,2016-06-10,2016,06,10
417,85804,19,20,35,1st Ave S,2016-06-10,2016,06,10
418,69131,19,1,13,1st Ave S,2016-06-10,2016,06,10
419,80251,14,7,4,1st Ave S,2016-06-09,2016,06,09
420,82011,19,55,20,1st Ave S,2016-06-09,2016,06,09
421,72325,18,29,4,1st Ave S,2016-06-09,2016,06,09
422,79654,14,26,53,1st Ave S,2016-06-08,2016,06,08
423,80158,12,25,13,1st Ave S,2016-06-08,2016,06,08
424,84882,10,29,50,1st Ave S,2016-06-08,2016,06,08
425,86134,10,0,16,1st Ave S,2016-06-08,2016,06,08
426,85990,9,52,23,1st Ave S,2016-06-08,2016,06,08
427,15994,9,44,16,1st Ave S,2016-06-08,2016,06,08
428,85252,14,4,31,1st Ave S,2016-06-07,2016,06,07
