,bridge,event,text,created_at,local_date
118,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 9:27:01 AM,2016-09-22 16:27:04,2016-09-22 09:27:04
117,Fremont,closed,The Fremont Bridge has closed to traffic -   9:32:08 AM,2016-09-22 16:32:10,2016-09-22 09:32:10
116,Fremont,open,The Fremont Bridge has reopened to traffic -   9:34:48 AM,2016-09-22 16:34:54,2016-09-22 09:34:54
115,Ballard,closed,The Ballard Bridge has closed to traffic -   9:36:49 AM,2016-09-22 16:36:52,2016-09-22 09:36:52
114,Ballard,open,The Ballard Bridge has reopened to traffic -   9:41:28 AM,2016-09-22 16:41:30,2016-09-22 09:41:30
113,University,closed,The University Bridge has closed to traffic   - 9:49:33 AM,2016-09-22 16:49:37,2016-09-22 09:49:37
112,Fremont,closed,The Fremont Bridge has closed to traffic -   9:52:02 AM,2016-09-22 16:52:05,2016-09-22 09:52:05
111,University,open,The University Bridge has reopened to   traffic - 9:54:48 AM,2016-09-22 16:54:53,2016-09-22 09:54:53
110,Fremont,open,The Fremont Bridge has reopened to traffic -   9:59:47 AM,2016-09-22 16:59:51,2016-09-22 09:59:51
109,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 9:59:52 AM,2016-09-22 16:59:54,2016-09-22 09:59:54
108,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 10:09:00 AM,2016-09-22 17:09:05,2016-09-22 10:09:05
107,Fremont,closed,The Fremont Bridge has closed to traffic -   10:09:07 AM,2016-09-22 17:09:09,2016-09-22 10:09:09
106,Fremont,open,The Fremont Bridge has reopened to traffic -   10:13:15 AM,2016-09-22 17:13:17,2016-09-22 10:13:17
105,South Park,closed,The South Park Bridge has closed to traffic   - 10:23:06 AM,2016-09-22 17:23:11,2016-09-22 10:23:11
104,Fremont,closed,The Fremont Bridge has closed to traffic -   10:24:47 AM,2016-09-22 17:24:53,2016-09-22 10:24:53
103,South Park,open,The South Park Bridge has reopened to   traffic - 10:34:55 AM,2016-09-22 17:34:58,2016-09-22 10:34:58
102,Fremont,open,The Fremont Bridge has reopened to traffic -   10:35:00 AM,2016-09-22 17:35:02,2016-09-22 10:35:02
101,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 10:35:05 AM,2016-09-22 17:35:07,2016-09-22 10:35:07
100,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 10:50:43 AM,2016-09-22 17:50:46,2016-09-22 10:50:46
99,South Park,closed,The South Park Bridge has closed to traffic   - 10:50:47 AM,2016-09-22 17:50:53,2016-09-22 10:50:53
98,South Park,open,The South Park Bridge has reopened to   traffic - 11:05:17 AM,2016-09-22 18:05:21,2016-09-22 11:05:21
97,Montlake,closed,The Montlake Bridge has closed to traffic -   11:05:23 AM,2016-09-22 18:05:29,2016-09-22 11:05:29
96,Montlake,open,The Montlake Bridge has reopened to traffic   - 11:21:50 AM,2016-09-22 18:21:55,2016-09-22 11:21:55
95,University,closed,The University Bridge has closed to traffic   - 11:23:08 AM,2016-09-22 18:23:15,2016-09-22 11:23:15
